time_start,time_end,model,launched,destroyed,not_reach_goal,still_attacking,target,launch_place
2022-10-16 02:49,2022-10-16 05:49,Tornado-S,7,5,2,0,Kharkiv,Belgorod Oblast
2022-10-16 03:10,2022-10-16 07:10,Kh-22,4,2,1,1,Kyiv,Belgorod Oblast
2022-10-19 02:53,2022-10-19 04:53,Shahed-136/Geran-2,14,11,1,2,Odesa,Voronezh Oblast
2022-10-21 02:31,2022-10-21 03:31,Tornado-S,9,3,1,5,Kharkiv,Voronezh Oblast
2022-10-24 01:56,2022-10-24 02:56,Shahed-136,15,12,2,1,Kharkiv,Crimea
2022-10-27 01:42,2022-10-27 05:42,Shahed-136,9,8,0,1,Donetsk,Krasnodar Krai
2022-10-27 02:33,2022-10-27 06:33,Kh-101,4,2,0,2,Dnipro,Belarus
2022-10-29 03:42,2022-10-29 06:42,Kh-101,3,1,2,0,Kherson,Belarus
2022-10-29 03:07,2022-10-29 05:07,Kalibr,4,4,0,0,Dnipro,Black Sea
2022-10-29 02:01,2022-10-29 04:01,Shahed-131,7,7,0,0,Poltava,Kursk Oblast
2022-10-30 01:04,2022-10-30 02:04,Shahed-238,16,15,0,1,Zhytomyr,Voronezh Oblast
2022-10-31 02:42,2022-10-31 06:42,Lancet-3,5,4,1,0,Dnipro,Belarus
2022-10-31 01:46,2022-10-31 05:46,Shahed-136,22,20,1,1,Dnipro,Crimea
2022-11-02 03:22,2022-11-02 07:22,Kh-22,3,2,0,1,Lviv,Crimea
2022-11-04 00:25,2022-11-04 03:25,Shahed-136/Geran-2,12,12,0,0,Vinnytsia,Black Sea
2022-11-05 03:08,2022-11-05 07:08,Iskander-M,3,2,0,1,Odesa,Belgorod Oblast
2022-11-05 03:15,2022-11-05 04:15,Shahed-136,11,9,0,2,Kherson,Belarus
2022-11-06 00:59,2022-11-06 02:59,KN-25,9,7,0,2,Odesa,Bryansk Oblast
2022-11-07 03:57,2022-11-07 04:57,Shahed-136,15,13,1,1,Odesa,Bryansk Oblast
2022-11-07 00:24,2022-11-07 03:24,KN-23,6,3,1,2,Rivne,Crimea
2022-11-08 01:12,2022-11-08 04:12,Shahed-136,25,20,3,2,Dnipro,Caspian Sea
2022-11-08 00:47,2022-11-08 03:47,Shahed-136/Geran-2,12,10,1,1,Kyiv,Caspian Sea
2022-11-08 03:32,2022-11-08 05:32,Kalibr,5,5,0,0,Kyiv,Belarus
2022-11-08 00:54,2022-11-08 02:54,Kh-101,6,4,0,2,Kharkiv,Black Sea
2022-11-09 03:07,2022-11-09 05:07,Shahed-136,24,22,1,1,Poltava,Caspian Sea
2022-11-09 00:26,2022-11-09 03:26,Kh-101,7,6,0,1,Rivne,Belgorod Oblast
2022-11-10 01:16,2022-11-10 05:16,Kh-59,6,6,0,0,Odesa,Belgorod Oblast
2022-11-10 03:20,2022-11-10 04:20,Kh-22,8,6,0,2,Kyiv,Crimea
2022-11-10 00:04,2022-11-10 02:04,Shahed-136/Geran-2,17,13,1,3,Donetsk,Belgorod Oblast
2022-11-11 00:56,2022-11-11 02:56,S-300,5,2,0,3,Mykolaiv,Belgorod Oblast
2022-11-11 01:28,2022-11-11 04:28,Shahed-238,12,12,0,0,Poltava,Belarus
2022-11-11 00:42,2022-11-11 03:42,Kh-101,6,6,0,0,Rivne,Black Sea
2022-11-13 00:47,2022-11-13 02:47,Kh-59MK2,4,4,0,0,Zaporizhzhia,Belgorod Oblast
2022-11-14 01:43,2022-11-14 04:43,Shahed-131,22,17,1,4,Donetsk,Crimea
2022-11-14 02:57,2022-11-14 03:57,Iskander-K,7,6,0,1,Kharkiv,Bryansk Oblast
2022-11-14 02:02,2022-11-14 03:02,Kh-69,4,3,1,0,Mykolaiv,Krasnodar Krai
2022-11-15 01:47,2022-11-15 05:47,Kalibr,5,3,1,1,Donetsk,Bryansk Oblast
2022-11-15 00:07,2022-11-15 01:07,Kh-101,2,1,1,0,Rivne,Krasnodar Krai
2022-11-15 00:53,2022-11-15 03:53,Shahed-136,9,7,1,1,Poltava,Belarus
2022-11-16 00:19,2022-11-16 03:19,Shahed-136/Geran-2,12,11,1,0,Rivne,Caspian Sea
2022-11-16 02:13,2022-11-16 04:13,Shahed-131,25,20,3,2,Sumy,Black Sea
2022-11-17 01:59,2022-11-17 03:59,Shahed-136,23,20,1,2,Zhytomyr,Krasnodar Krai
2022-11-17 01:56,2022-11-17 05:56,Shahed-131,22,22,0,0,Kyiv,Krasnodar Krai
2022-11-17 02:50,2022-11-17 06:50,Kh-101,1,0,0,1,Vinnytsia,Kursk Oblast
2022-11-17 02:10,2022-11-17 03:10,Shahed-238,18,15,0,3,Lviv,Caspian Sea
2022-11-19 02:19,2022-11-19 04:19,Kh-555,2,1,1,0,Dnipro,Caspian Sea
2022-11-19 01:25,2022-11-19 04:25,Shahed-136,18,16,1,1,Zaporizhzhia,Black Sea
2022-11-19 02:22,2022-11-19 06:22,Kh-101,5,4,0,1,Sumy,Belarus
2022-11-19 02:01,2022-11-19 03:01,Kh-31P,3,3,0,0,Rivne,Belgorod Oblast
2022-11-20 00:06,2022-11-20 04:06,Shahed-136,27,23,1,3,Mykolaiv,Voronezh Oblast
2022-11-20 03:38,2022-11-20 04:38,Kh-101,9,7,0,2,Lviv,Kursk Oblast
2022-11-20 02:02,2022-11-20 06:02,Kalibr,7,6,1,0,Kyiv,Belarus
2022-11-22 02:27,2022-11-22 03:27,Shahed-136,16,16,0,0,Sumy,Voronezh Oblast
2022-11-22 02:42,2022-11-22 03:42,Shahed-131,29,25,0,4,Chernihiv,Belgorod Oblast
2022-11-23 02:25,2022-11-23 05:25,Shahed-131,26,23,2,1,Donetsk,Krasnodar Krai
2022-11-23 01:26,2022-11-23 05:26,Kh-555,2,1,0,1,Sumy,Krasnodar Krai
2022-11-23 02:25,2022-11-23 03:25,Kh-22,5,5,0,0,Zaporizhzhia,Belgorod Oblast
2022-11-23 01:27,2022-11-23 04:27,Shahed-136,14,10,1,3,Kherson,Crimea
2022-11-24 03:50,2022-11-24 05:50,Shahed-131,30,23,2,5,Sumy,Black Sea
2022-11-24 02:32,2022-11-24 05:32,Kh-22,1,0,1,0,Kharkiv,Kursk Oblast
2022-11-25 01:09,2022-11-25 02:09,Shahed-136,15,14,1,0,Kyiv,Kursk Oblast
2022-11-25 03:39,2022-11-25 04:39,Shahed-131,19,19,0,0,Kherson,Bryansk Oblast
2022-11-27 03:25,2022-11-27 05:25,Shahed-136,22,20,0,2,Odesa,Caspian Sea
2022-11-27 00:49,2022-11-27 04:49,Kalibr,6,4,1,1,Dnipro,Krasnodar Krai
2022-11-27 03:03,2022-11-27 05:03,Kh-555,4,3,1,0,Rivne,Black Sea
2022-11-27 03:08,2022-11-27 07:08,KN-25,8,5,2,1,Sumy,Belarus
2022-11-29 03:53,2022-11-29 07:53,Shahed-136/Geran-2,18,14,1,3,Rivne,Krasnodar Krai
2022-11-29 03:28,2022-11-29 06:28,Shahed-131,23,18,1,4,Vinnytsia,Kursk Oblast
2022-11-29 02:49,2022-11-29 06:49,Kh-59,4,2,2,0,Sumy,Kursk Oblast
2022-11-29 02:28,2022-11-29 03:28,Shahed-136,14,12,1,1,Chernihiv,Belgorod Oblast
2022-11-30 02:57,2022-11-30 03:57,Shahed-131,22,18,0,4,Odesa,Krasnodar Krai
2022-11-30 01:24,2022-11-30 03:24,Shahed-136,22,19,0,3,Chernihiv,Kursk Oblast
2022-11-30 00:26,2022-11-30 04:26,Orlan-10,1,1,0,0,Mykolaiv,Belarus
2022-12-01 01:53,2022-12-01 05:53,Shahed-136,28,26,1,1,Lviv,Caspian Sea
2022-12-04 02:19,2022-12-04 06:19,Kh-555,4,2,1,1,Zhytomyr,Bryansk Oblast
2022-12-05 03:14,2022-12-05 06:14,Shahed-136,19,17,0,2,Lviv,Crimea
2022-12-05 00:24,2022-12-05 03:24,Zala,3,2,0,1,Sumy,Bryansk Oblast
2022-12-10 00:05,2022-12-10 04:05,Shahed-131,16,16,0,0,Odesa,Crimea
2022-12-10 01:03,2022-12-10 04:03,Shahed-136/Geran-2,19,16,1,2,Lviv,Voronezh Oblast
2022-12-10 01:29,2022-12-10 04:29,Shahed-136,13,9,1,3,Mykolaiv,Bryansk Oblast
2022-12-10 02:48,2022-12-10 06:48,Shahed-238,22,20,2,0,Zaporizhzhia,Black Sea
2022-12-11 02:14,2022-12-11 03:14,Shahed-136,15,10,0,5,Vinnytsia,Caspian Sea
2022-12-14 01:15,2022-12-14 03:15,Shahed-136/Geran-2,19,18,0,1,Kherson,Black Sea
2022-12-15 03:44,2022-12-15 06:44,Iskander-K,5,4,0,1,Vinnytsia,Voronezh Oblast
2022-12-15 01:38,2022-12-15 02:38,Kh-101,9,7,1,1,Vinnytsia,Krasnodar Krai
2022-12-17 02:36,2022-12-17 06:36,Shahed-136,13,12,1,0,Lviv,Kursk Oblast
2022-12-18 00:44,2022-12-18 03:44,Shahed-136/Geran-2,9,9,0,0,Zhytomyr,Black Sea
2022-12-18 00:22,2022-12-18 04:22,Shahed-131,22,20,1,1,Sumy,Voronezh Oblast
2022-12-19 00:54,2022-12-19 04:54,Shahed-136,20,18,1,1,Zhytomyr,Crimea
2022-12-19 00:27,2022-12-19 03:27,Iskander-K,8,6,0,2,Sumy,Crimea
2022-12-19 01:27,2022-12-19 03:27,Lancet-3,2,1,1,0,Chernihiv,Belarus
2022-12-21 03:27,2022-12-21 06:27,Shahed-136,28,26,1,1,Mykolaiv,Kursk Oblast
2022-12-21 00:17,2022-12-21 04:17,Shahed-131,20,16,2,2,Dnipro,Crimea
2022-12-21 03:21,2022-12-21 04:21,Tornado-S,7,4,1,2,Kherson,Voronezh Oblast
2022-12-21 01:31,2022-12-21 03:31,Zala,4,3,1,0,Mykolaiv,Belgorod Oblast
2022-12-22 00:33,2022-12-22 02:33,Supercam S350,4,3,1,0,Kharkiv,Kursk Oblast
2022-12-22 03:31,2022-12-22 05:31,Forpost-R,4,2,0,2,Chernihiv,Crimea
2022-12-22 03:28,2022-12-22 04:28,Kh-101,6,3,1,2,Kharkiv,Belgorod Oblast
2022-12-23 02:42,2022-12-23 05:42,Shahed-136,8,8,0,0,Kherson,Belarus
2022-12-23 02:27,2022-12-23 05:27,Iskander-M,7,4,1,2,Mykolaiv,Crimea
2022-12-24 01:07,2022-12-24 03:07,Kh-101,4,4,0,0,Mykolaiv,Black Sea
2022-12-24 01:12,2022-12-24 03:12,Shahed-136/Geran-2,23,19,1,3,Chernihiv,Crimea
2022-12-24 02:46,2022-12-24 05:46,Shahed-131,12,12,0,0,Kharkiv,Kursk Oblast
2022-12-25 01:19,2022-12-25 02:19,Shahed-136,22,20,1,1,Chernihiv,Belarus
2022-12-25 01:17,2022-12-25 02:17,Kh-101,5,3,0,2,Kyiv,Belarus
2022-12-25 02:44,2022-12-25 04:44,Shahed-131,4,3,1,0,Sumy,Crimea
2022-12-26 02:30,2022-12-26 06:30,Kh-59MK2,1,1,0,0,Kherson,Voronezh Oblast
2022-12-27 02:55,2022-12-27 06:55,Shahed-238,17,16,0,1,Kharkiv,Black Sea
2022-12-28 00:09,2022-12-28 02:09,Shahed-136,20,19,0,1,Vinnytsia,Belgorod Oblast
2022-12-29 00:35,2022-12-29 04:35,Shahed-136/Geran-2,12,10,0,2,Poltava,Kursk Oblast
2022-12-29 03:28,2022-12-29 07:28,Shahed-131,14,13,0,1,Zaporizhzhia,Bryansk Oblast
2022-12-30 00:48,2022-12-30 02:48,Shahed-136,13,12,0,1,Sumy,Kursk Oblast
2022-12-31 01:15,2022-12-31 03:15,Shahed-131,29,28,1,0,Donetsk,Black Sea
2023-01-01 03:44,2023-01-01 07:44,Kh-555,5,5,0,0,Zaporizhzhia,Caspian Sea
2023-01-01 01:18,2023-01-01 04:18,Shahed-136,21,20,0,1,Chernihiv,Crimea
2023-01-01 00:43,2023-01-01 02:43,Shahed-136/Geran-2,22,20,0,2,Rivne,Belgorod Oblast
2023-01-01 01:27,2023-01-01 02:27,KN-23,1,0,1,0,Donetsk,Kursk Oblast
2023-01-02 01:04,2023-01-02 02:04,Shahed-136,26,23,1,2,Odesa,Belgorod Oblast
2023-01-02 02:28,2023-01-02 03:28,Kalibr,4,3,0,1,Kherson,Belgorod Oblast
2023-01-02 03:17,2023-01-02 07:17,KN-25,5,3,0,2,Kherson,Black Sea
2023-01-03 02:38,2023-01-03 05:38,Shahed-136,24,21,0,3,Kyiv,Black Sea
2023-01-03 01:43,2023-01-03 02:43,Shahed-131,21,18,1,2,Vinnytsia,Belgorod Oblast
2023-01-03 00:48,2023-01-03 02:48,KN-25,6,5,0,1,Kherson,Belarus
2023-01-03 03:58,2023-01-03 06:58,Kh-59,8,7,0,1,Odesa,Bryansk Oblast
2023-01-04 00:30,2023-01-04 03:30,Kh-101,4,4,0,0,Lviv,Voronezh Oblast
2023-01-04 02:42,2023-01-04 03:42,Shahed-136,16,15,0,1,Zhytomyr,Krasnodar Krai
2023-01-04 02:26,2023-01-04 06:26,Lancet-3,3,2,0,1,Zaporizhzhia,Bryansk Oblast
2023-01-04 00:29,2023-01-04 01:29,Kh-555,3,2,0,1,Mykolaiv,Belgorod Oblast
2023-01-05 00:42,2023-01-05 04:42,Shahed-107,19,18,0,1,Lviv,Caspian Sea
2023-01-05 01:33,2023-01-05 04:33,Shahed-136,19,16,2,1,Poltava,Crimea
2023-01-05 03:48,2023-01-05 04:48,Shahed-131,30,27,1,2,Dnipro,Belgorod Oblast
2023-01-05 01:59,2023-01-05 04:59,Iskander-K,8,7,0,1,Kherson,Crimea
2023-01-06 01:19,2023-01-06 02:19,Shahed-131,15,13,0,2,Donetsk,Bryansk Oblast
2023-01-06 00:14,2023-01-06 01:14,Shahed-238,16,14,0,2,Kherson,Black Sea
2023-01-07 03:59,2023-01-07 06:59,Shahed-238,17,16,0,1,Donetsk,Belgorod Oblast
2023-01-07 03:53,2023-01-07 07:53,Kh-101,4,1,0,3,Kherson,Kursk Oblast
2023-01-08 03:12,2023-01-08 05:12,Tornado-S,11,6,1,4,Zhytomyr,Black Sea
2023-01-08 02:49,2023-01-08 06:49,Shahed-136,22,20,0,2,Mykolaiv,Belarus
2023-01-09 02:46,2023-01-09 05:46,KN-25,9,3,1,5,Zhytomyr,Crimea
2023-01-11 02:21,2023-01-11 06:21,Shahed-136,14,14,0,0,Kherson,Voronezh Oblast
2023-01-11 01:44,2023-01-11 03:44,Kh-59,4,4,0,0,Poltava,Bryansk Oblast
2023-01-11 01:54,2023-01-11 05:54,Kh-101,4,3,0,1,Kyiv,Voronezh Oblast
2023-01-11 03:45,2023-01-11 07:45,Shahed-136/Geran-2,23,21,1,1,Lviv,Krasnodar Krai
2023-01-12 01:32,2023-01-12 04:32,Shahed-131,16,14,0,2,Zhytomyr,Black Sea
2023-01-14 00:46,2023-01-14 02:46,Shahed-136,22,17,2,3,Lviv,Krasnodar Krai
2023-01-14 00:30,2023-01-14 03:30,Kh-59,1,1,0,0,Mykolaiv,Bryansk Oblast
2023-01-14 00:54,2023-01-14 03:54,Shahed-238,9,9,0,0,Zhytomyr,Belarus
2023-01-14 03:20,2023-01-14 07:20,Hwasong-11,7,4,1,2,Zhytomyr,Belarus
2023-01-15 01:40,2023-01-15 04:40,Shahed-136/Geran-2,15,14,0,1,Dnipro,Black Sea
2023-01-16 00:28,2023-01-16 02:28,Kh-59,5,5,0,0,Chernihiv,Belgorod Oblast
2023-01-18 02:22,2023-01-18 05:22,Kh-31P,4,2,0,2,Lviv,Krasnodar Krai
2023-01-19 01:10,2023-01-19 03:10,Shahed-136/Geran-2,22,21,0,1,Kharkiv,Bryansk Oblast
2023-01-19 01:31,2023-01-19 03:31,Shahed-136,23,20,1,2,Dnipro,Crimea
2023-01-19 02:29,2023-01-19 05:29,Shahed-131,23,20,0,3,Sumy,Caspian Sea
2023-01-19 03:57,2023-01-19 06:57,Kh-55,2,1,0,1,Sumy,Belarus
2023-01-20 02:37,2023-01-20 05:37,Shahed-131,14,12,1,1,Sumy,Bryansk Oblast
2023-01-20 02:29,2023-01-20 05:29,Kh-59MK2,5,3,2,0,Dnipro,Bryansk Oblast
2023-01-20 03:06,2023-01-20 05:06,Shahed-136,22,18,0,4,Lviv,Voronezh Oblast
2023-01-20 02:44,2023-01-20 05:44,S-300,8,2,2,4,Kyiv,Bryansk Oblast
2023-01-21 03:53,2023-01-21 06:53,KN-25,12,4,2,6,Vinnytsia,Kursk Oblast
2023-01-22 01:40,2023-01-22 03:40,Shahed-136,18,15,1,2,Poltava,Belgorod Oblast
2023-01-22 01:40,2023-01-22 02:40,Lancet-3,7,7,0,0,Rivne,Caspian Sea
2023-01-22 02:50,2023-01-22 06:50,Shahed-136/Geran-2,11,10,1,0,Kyiv,Voronezh Oblast
2023-01-24 02:47,2023-01-24 06:47,Shahed-136,8,8,0,0,Odesa,Kursk Oblast
2023-01-24 01:50,2023-01-24 04:50,Kh-59,4,3,0,1,Donetsk,Belarus
2023-01-24 02:53,2023-01-24 04:53,Kh-22,4,1,1,2,Zaporizhzhia,Crimea
2023-01-26 00:29,2023-01-26 01:29,Kh-101,2,0,0,2,Odesa,Kursk Oblast
2023-01-26 03:54,2023-01-26 06:54,Kh-555,6,5,0,1,Kharkiv,Bryansk Oblast
2023-01-26 00:16,2023-01-26 01:16,Shahed-136,18,15,0,3,Kherson,Voronezh Oblast
2023-01-27 03:52,2023-01-27 06:52,Kh-59,5,5,0,0,Kharkiv,Kursk Oblast
2023-01-27 03:01,2023-01-27 06:01,Shahed-136,17,15,0,2,Rivne,Kursk Oblast
2023-01-27 00:40,2023-01-27 04:40,Shahed-136/Geran-2,14,11,1,2,Rivne,Belgorod Oblast
2023-01-28 01:02,2023-01-28 02:02,Kh-101,1,1,0,0,Zaporizhzhia,Crimea
2023-01-29 01:24,2023-01-29 05:24,Shahed-136,10,7,1,2,Mykolaiv,Belarus
2023-01-29 03:37,2023-01-29 05:37,Shahed-136/Geran-2,22,20,0,2,Rivne,Bryansk Oblast
2023-01-30 03:17,2023-01-30 04:17,Shahed-136,10,10,0,0,Chernihiv,Voronezh Oblast
2023-01-30 01:28,2023-01-30 05:28,Kalibr,3,2,0,1,Dnipro,Voronezh Oblast
2023-01-30 00:43,2023-01-30 03:43,Kh-47M2 Kinzhal,5,1,1,3,Donetsk,Voronezh Oblast
2023-01-30 00:25,2023-01-30 03:25,Shahed-238,22,18,1,3,Dnipro,Black Sea
2023-02-02 00:03,2023-02-02 03:03,Iskander-M,5,2,2,1,Dnipro,Krasnodar Krai
2023-02-02 01:04,2023-02-02 03:04,Shahed-136,19,17,1,1,Poltava,Kursk Oblast
2023-02-04 00:17,2023-02-04 02:17,Smerch,4,3,0,1,Odesa,Belarus
2023-02-04 02:51,2023-02-04 04:51,Shahed-136,8,7,0,1,Kharkiv,Caspian Sea
2023-02-05 01:37,2023-02-05 04:37,Kh-101,6,3,1,2,Kyiv,Krasnodar Krai
2023-02-05 02:03,2023-02-05 04:03,Shahed-131,23,19,1,3,Chernihiv,Bryansk Oblast
2023-02-05 00:47,2023-02-05 01:47,Shahed-136,17,17,0,0,Kherson,Crimea
2023-02-07 03:32,2023-02-07 05:32,Kh-101,2,2,0,0,Poltava,Caspian Sea
2023-02-10 03:41,2023-02-10 04:41,Shahed-107,22,20,0,2,Kyiv,Crimea
2023-02-10 03:27,2023-02-10 04:27,Kh-101,1,1,0,0,Kherson,Crimea
2023-02-10 00:57,2023-02-10 01:57,Shahed-136,21,17,0,4,Mykolaiv,Krasnodar Krai
2023-02-11 02:24,2023-02-11 05:24,Shahed-136,27,23,0,4,Kherson,Belarus
2023-02-11 03:06,2023-02-11 04:06,Shahed-136/Geran-2,27,21,1,5,Zhytomyr,Belarus
2023-02-11 01:27,2023-02-11 05:27,KN-25,9,7,0,2,Rivne,Kursk Oblast
2023-02-12 03:26,2023-02-12 04:26,Kh-59,1,1,0,0,Mykolaiv,Bryansk Oblast
2023-02-12 02:42,2023-02-12 05:42,Shahed-136,12,10,0,2,Mykolaiv,Krasnodar Krai
2023-02-12 03:04,2023-02-12 04:04,Kh-555,7,5,2,0,Zhytomyr,Black Sea
2023-02-12 00:27,2023-02-12 01:27,Kh-101,3,3,0,0,Chernihiv,Voronezh Oblast
2023-02-14 00:26,2023-02-14 03:26,Kh-555,6,4,0,2,Zhytomyr,Bryansk Oblast
2023-02-14 00:18,2023-02-14 03:18,Shahed-136,15,15,0,0,Mykolaiv,Black Sea
2023-02-14 01:09,2023-02-14 05:09,Shahed-238,19,17,1,1,Dnipro,Black Sea
2023-02-15 00:48,2023-02-15 03:48,Shahed-131,21,19,1,1,Poltava,Kursk Oblast
2023-02-15 03:54,2023-02-15 04:54,Shahed-136,23,21,0,2,Poltava,Belgorod Oblast
2023-02-15 00:11,2023-02-15 03:11,Smerch,7,5,1,1,Chernihiv,Belgorod Oblast
2023-02-17 01:36,2023-02-17 05:36,Shahed-136/Geran-2,21,17,2,2,Kharkiv,Krasnodar Krai
2023-02-17 00:05,2023-02-17 02:05,Kalibr,6,5,0,1,Lviv,Bryansk Oblast
2023-02-18 02:19,2023-02-18 05:19,Shahed-136,20,15,0,5,Vinnytsia,Black Sea
2023-02-18 00:09,2023-02-18 02:09,Lancet-3,5,5,0,0,Vinnytsia,Caspian Sea
2023-02-19 03:42,2023-02-19 07:42,KN-23,5,2,2,1,Kherson,Crimea
2023-02-19 03:17,2023-02-19 05:17,Shahed-136,24,19,1,4,Vinnytsia,Belarus
2023-02-19 00:22,2023-02-19 04:22,Kalibr,4,2,0,2,Kharkiv,Belgorod Oblast
2023-02-20 02:02,2023-02-20 04:02,Kh-555,4,4,0,0,Lviv,Caspian Sea
2023-02-20 00:13,2023-02-20 03:13,Shahed-136,18,15,0,3,Dnipro,Krasnodar Krai
2023-02-20 02:18,2023-02-20 05:18,Smerch,10,5,1,4,Kharkiv,Caspian Sea
2023-02-20 03:47,2023-02-20 07:47,Kh-101,5,5,0,0,Odesa,Krasnodar Krai
2023-02-21 02:04,2023-02-21 06:04,Shahed-136,22,18,4,0,Zhytomyr,Caspian Sea
2023-02-21 03:01,2023-02-21 07:01,Shahed-136/Geran-2,18,16,1,1,Rivne,Black Sea
2023-02-23 03:18,2023-02-23 04:18,Shahed-131,7,6,0,1,Lviv,Caspian Sea
2023-02-23 02:10,2023-02-23 06:10,Shahed-238,7,7,0,0,Zhytomyr,Voronezh Oblast
2023-02-23 00:27,2023-02-23 01:27,Kh-555,2,2,0,0,Dnipro,Bryansk Oblast
2023-02-23 03:33,2023-02-23 04:33,Shahed-136/Geran-2,11,11,0,0,Lviv,Belgorod Oblast
2023-02-25 00:32,2023-02-25 01:32,Shahed-131,23,17,2,4,Donetsk,Belarus
2023-02-25 01:57,2023-02-25 04:57,Kalibr,4,3,0,1,Mykolaiv,Krasnodar Krai
2023-02-26 02:12,2023-02-26 04:12,Zala,5,3,1,1,Poltava,Krasnodar Krai
2023-02-26 00:11,2023-02-26 04:11,Shahed-136,20,19,0,1,Kherson,Crimea
2023-02-27 02:09,2023-02-27 06:09,Shahed-136,26,22,0,4,Kharkiv,Crimea
2023-02-27 03:40,2023-02-27 06:40,S-300,3,2,0,1,Vinnytsia,Belgorod Oblast
2023-02-27 00:22,2023-02-27 01:22,Kh-101,5,4,0,1,Zaporizhzhia,Crimea
2023-02-28 02:53,2023-02-28 05:53,Shahed-136,8,6,0,2,Kharkiv,Black Sea
2023-03-01 03:37,2023-03-01 04:37,Shahed-136,21,20,0,1,Kherson,Kursk Oblast
2023-03-01 02:38,2023-03-01 06:38,Shahed-136/Geran-2,30,27,0,3,Donetsk,Krasnodar Krai
2023-03-01 00:28,2023-03-01 01:28,Kh-69,4,4,0,0,Vinnytsia,Voronezh Oblast
2023-03-01 00:32,2023-03-01 02:32,Kh-55,8,6,0,2,Kyiv,Kursk Oblast
2023-03-04 02:23,2023-03-04 05:23,Shahed-136/Geran-2,33,27,1,5,Lviv,Bryansk Oblast
2023-03-04 02:43,2023-03-04 03:43,Shahed-238,14,12,1,1,Vinnytsia,Voronezh Oblast
2023-03-05 03:18,2023-03-05 06:18,Shahed-136,19,16,2,1,Chernihiv,Krasnodar Krai
2023-03-06 02:19,2023-03-06 06:19,Shahed-136/Geran-2,19,15,2,2,Odesa,Black Sea
2023-03-06 02:35,2023-03-06 06:35,Kalibr,7,5,0,2,Sumy,Voronezh Oblast
2023-03-08 03:32,2023-03-08 06:32,Shahed-136/Geran-2,27,21,0,6,Kyiv,Voronezh Oblast
2023-03-09 02:49,2023-03-09 06:49,Smerch,11,8,2,1,Dnipro,Kursk Oblast
2023-03-09 01:09,2023-03-09 02:09,Shahed-136,13,10,1,2,Zaporizhzhia,Black Sea
2023-03-10 02:56,2023-03-10 04:56,Shahed-136,22,16,2,4,Poltava,Bryansk Oblast
2023-03-11 01:46,2023-03-11 05:46,Shahed-136,9,8,1,0,Kyiv,Bryansk Oblast
2023-03-11 02:43,2023-03-11 04:43,Kh-22,5,3,2,0,Kherson,Belgorod Oblast
2023-03-14 02:51,2023-03-14 06:51,Shahed-136,15,11,0,4,Rivne,Kursk Oblast
2023-03-14 02:43,2023-03-14 06:43,Kh-555,5,5,0,0,Kherson,Belgorod Oblast
2023-03-16 01:52,2023-03-16 03:52,Kalibr,5,5,0,0,Vinnytsia,Krasnodar Krai
2023-03-16 02:03,2023-03-16 06:03,Shahed-136,14,11,0,3,Zhytomyr,Voronezh Oblast
